syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4
8,671.5559,454.2204,0.2306,-0.2645,-0.9561,0.4638,1.1309,-0.6986
8,672.0004,453.8581,0.1841,-0.1176,-0.9901,0.0474,1.1499,-0.5176
8,671.7346,453.1765,0.1345,-0.2039,-0.8859,0.2445,1.2076,-0.5085
8,671.9786,452.4341,0.1349,-0.2762,-1.0174,0.0417,1.1554,-0.3837
8,671.982,451.5806,0.0962,-0.0764,-1.0498,0.0745,1.0317,-0.5676
8,671.9216,452.0521,0.0879,-0.1702,-1.0388,-0.0261,1.238,-0.6814
8,671.7088,451.2593,0.0823,-0.1022,-1.2556,-0.3435,1.2817,-0.6459
8,671.6287,452.4207,0.1476,-0.108,-0.9416,0.0868,1.1988,-0.4847
8,671.8335,452.4706,0.1112,-0.0896,-0.988,-0.1629,1.192,-0.7409
8,671.5128,450.9789,0.117,-0.062,-0.9909,0.0261,1.1696,-0.8531
8,670.3828,450.8228,0.0998,-0.0506,-1.2318,0.1026,0.9031,-1.0383
8,669.2312,450.1532,0.14,-0.0846,-1.1992,-0.0684,1.1813,-0.7733
8,668.4436,450.3457,0.1656,-0.0888,-1.4279,0.1416,0.9619,-0.9469
8,668.3781,448.8424,0.1144,-0.2442,-1.6447,0.1972,1.2346,-0.8818
8,669.0064,448.8045,0.0759,-0.1634,-1.7635,-0.2211,1.1122,-1.0562
8,669.3423,447.9431,-0.0415,-0.084,-1.6948,0.123,1.4502,-1.037
8,670.7936,447.0542,-0.0092,0.0418,-1.8632,-0.0692,1.3035,-1.257
8,673.4905,445.3526,-0.0225,0.0708,-1.8915,0.2241,1.1791,-1.0533
8,675.7963,444.883,-0.1028,0.0887,-1.9433,0.1706,0.8343,-1.0606
8,677.6261,442.0646,-0.1665,0.1013,-1.9311,0.2283,0.6045,-1.2176
8,679.9853,440.0479,-0.1896,0.1785,-1.9096,0.3506,-0.0028,-0.9372
8,681.5441,438.5654,-0.2347,0.1962,-1.8526,0.5305,0.1666,-1.3584
8,683.2744,437.0761,-0.2891,0.2887,-1.9764,0.5662,-0.0212,-1.12
8,684.3773,434.6831,-0.3358,0.1789,-1.9866,0.6492,0.1459,-1.0447
8,684.7738,432.5943,-0.364,0.2993,-1.9711,0.5465,-0.0515,-1.029
8,685.7939,429.6664,-0.3731,0.2176,-1.7496,0.6124,-0.5524,-0.8505
8,686.6807,426.6488,-0.3707,0.1291,-1.6127,0.6648,-0.6772,-0.8271
8,688.7717,424.3651,-0.3954,-0.0236,-1.5685,0.674,-1.0941,-1.0892
8,689.1167,421.472,-0.4328,-0.0778,-1.6106,0.6971,-1.1735,-0.9904
8,689.8093,420.5595,-0.4707,-0.2695,-1.5353,0.6109,-1.5025,-0.9852
8,689.5101,420.3786,-0.5601,-0.3756,-1.5713,0.6835,-1.8454,-0.7076
8,690.3972,418.6053,-0.61,-0.4496,-1.667,0.609,-1.6458,-0.5688
8,690.4532,415.8809,-0.6144,-0.5128,-1.8026,0.5681,-1.7332,-0.529
8,691.1071,412.1638,-0.6877,-0.4278,-1.7233,0.9195,-2.138,-0.4984
8,690.3115,408.8414,-0.8085,-0.4714,-1.7827,1.1871,-2.0752,-0.5714
8,691.2096,405.3609,-0.8779,-0.5994,-1.8525,1.3458,-1.9911,-0.756
8,690.5633,402.0824,-0.9,-0.7665,-2.0649,1.3602,-1.6796,-0.1265
8,689.2255,398.2928,-0.9497,-0.843,-2.0934,1.5452,-1.7454,-0.596
8,688.7962,394.8913,-1.0393,-0.9426,-2.0867,1.5724,-1.7836,-0.3372
8,688.834,390.6126,-1.0824,-0.9209,-2.0294,1.4286,-1.7689,-0.0661
8,688.7408,386.3226,-1.1352,-1.0235,-1.693,1.7957,-2.0231,-0.0156
8,689.47,382.5208,-1.1561,-1.0731,-1.5002,1.4388,-2.3271,0.0823
8,690.4247,379.3655,-1.1967,-0.9407,-1.1616,1.5524,-2.5307,0.3166
8,690.0077,376.6076,-1.1835,-1.0519,-0.8192,1.5933,-2.5895,0.5203
8,691.7516,374.7534,-1.2193,-1.0369,-0.6677,1.2461,-2.4595,0.6557
8,692.0414,371.7288,-1.2462,-0.8546,-0.4797,1.3522,-2.4178,0.3232
8,693.9242,369.4122,-1.2629,-0.7344,-0.4227,1.3547,-2.4187,0.5106
8,694.6448,366.325,-1.2464,-0.5331,-0.2918,1.6193,-2.4899,0.7656
8,694.7844,365.8462,-1.2562,-0.6163,-0.0811,1.8093,-2.13,0.5792
8,695.1222,364.4857,-1.231,-0.5287,-0.078,1.9926,-1.8734,1.0619
8,693.5867,364.6464,-1.1913,-0.3932,-0.1809,2.0693,-1.8563,0.6124
8,693.0031,364.4688,-1.1411,-0.2577,-0.1205,2.0818,-1.5658,1.1623
8,691.022,366.1289,-1.1446,0.0057,-0.4061,2.196,-1.4611,1.0209
8,691.2614,366.3264,-1.1111,0.1207,-0.3528,2.2275,-0.6991,0.8664
8,690.1491,366.936,-1.0993,0.1508,-0.3604,1.9383,-0.9732,0.6862
8,690.8171,366.1063,-1.1037,0.0812,-0.1291,2.1035,-1.1638,0.4802
